,0
0,0.10517118822599145
1,0.1504093122403502
2,0.1230165262663441
3,0.12222576502238153
4,0.1317203351177482
5,0.09732339815874422
6,0.13353698493642036
7,0.10490155971226703
8,0.12993201160029863
9,0.1448128450495641
10,0.12966586024046697
11,0.12066289481005962
12,0.13678524196666095
13,0.13054010477736006
14,0.12629022487518415
15,0.11704155242439082
16,0.12659923809331364
17,0.10958989095999762
18,0.12405808195639068
19,0.11429752456888514
20,0.1494345900203097
21,0.10131151190185575
22,0.11597509619999428
23,0.13752374014730298
24,0.09011712970427714
25,0.12085311028719933
26,0.13987061992306837
27,0.09938571101194647
28,0.14965968519774522
29,0.12968507942505678
